date,market cap,btc cap,alt cap,eth cap,btc share,alt share,eth share
2016-06-30,11972168887.0,10066400256.0,1905768631.0,1027260032.0,84.0816760188759,15.918323981124106,8.580400441188663
2016-07-01,12489044468.0,10570600448.0,1918444020.0,1014220032.0,84.63898479250734,15.361015207492654,8.120877738874906
2016-07-05,12627692789.0,10749100032.0,1878592757.0,935729984.0,85.12323043971702,14.876769560282973,7.410142134714551
2016-07-06,12327468185.0,10550299648.0,1777168537.0,864062976.0,85.58366965276414,14.416330347235853,7.009249288117307
2016-07-07,12454244191.0,10673399808.0,1780844383.0,861144000.0,85.70090359809294,14.299096401907061,6.914462144738591
2016-07-08,11784718134.0,10086899712.0,1697818422.0,827089984.0,85.59305023086095,14.406949769139043,7.018326400304551
2016-07-11,12021970097.0,10215199744.0,1806770353.0,895670016.0,84.97109593168204,15.028904068317948,7.450276525172095
2016-07-12,12024999386.0,10213099520.0,1811899866.0,855555008.0,84.93222487720466,15.067775122795338,7.114802924614469
2016-07-13,12435923396.0,10474500096.0,1961423300.0,860769984.0,84.22776308970438,15.772236910295614,6.921641092424754
2016-07-14,12375271263.0,10288400384.0,2086870879.0,868508992.0,83.13676658353828,16.863233416461718,7.0181006423406425
2016-07-15,12530606370.0,10387900416.0,2142705954.0,942817024.0,82.90022134020639,17.09977865979362,7.5241133282842085
2016-07-18,12812426658.0,10716800000.0,2095626658.0,917150976.0,83.64379587147526,16.356204128524737,7.158292495882009
2016-07-19,12623282227.0,10606499840.0,2016782387.0,907134976.0,84.02331223581221,15.976687764187783,7.186205296588589
2016-07-20,12819934256.0,10608600064.0,2211334192.0,952142976.0,82.75081488062196,17.24918511937804,7.427050380967258
2016-07-21,12749262606.0,10490300416.0,2258962190.0,1024000000.0,82.28162475109033,17.71837524890967,8.031837068899105
2016-07-22,12731221857.0,10486599680.0,2244622177.0,1040640000.0,82.36915354855873,17.630846451441272,8.173920867051935
2016-07-25,12772246024.0,10431899648.0,2340346376.0,1048920000.0,81.67631306504498,18.32368693495502,8.212494482403496
2016-07-26,12705809120.0,10321899520.0,2383909600.0,1137660032.0,81.23764037783687,18.762359622163128,8.953857414788551
2016-07-27,12590494555.0,10281900032.0,2308594523.0,992644992.0,81.66398855171897,18.33601144828103,7.8840826121941
2016-07-28,12642535714.0,10328099840.0,2314435874.0,1069560000.0,81.69326212432956,18.306737875670436,8.460011695403782
2016-07-29,12656682909.0,10338899968.0,2317782941.0,1058220032.0,81.68727969512568,18.312720304874315,8.360958709390703
2016-08-01,12068009732.0,9860620288.0,2207389444.0,981734976.0,81.70875319940453,18.29124680059547,8.13501975720813
2016-08-02,11718298221.0,9574320128.0,2143978093.0,903977984.0,81.70401492976308,18.29598507023693,7.714242861476328
2016-08-03,10594327572.0,8663669760.0,1930657812.0,733203968.0,81.77649502642733,18.223504973572663,6.920722084691833
2016-08-04,10996852412.0,8943869952.0,2052982460.0,851992000.0,81.33118111360899,18.668818886390998,7.747598749895817
